Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,cabin_multiple,cabin_adv,numeric_ticket,name_title,norm_fare
0,1,male,27.0,0,2,C,1,C,1,Mr,5.358941988364472
0,3,male,30.0,0,0,S,0,n,0,Mr,2.1102132003465894
1,1,female,33.0,1,0,Q,1,C,1,Miss,4.51085950651685
0,3,male,,0,0,Q,0,n,1,Mr,2.1661924680884908
0,3,female,,3,1,S,0,n,1,Miss,3.275887339030031
0,3,male,2.0,3,1,S,0,n,1,Master,3.0944457464900235
1,2,female,25.0,1,1,S,0,n,1,Miss,3.4339872044851463
0,1,male,51.0,0,1,C,0,n,0,Mr,4.133231886474144
1,2,female,25.0,0,1,S,0,n,1,Mrs,3.295836866004329
0,3,male,,0,0,S,0,n,0,Mr,2.1102132003465894
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
0,2,female,24.0,0,0,S,0,n,1,Miss,2.6390573296152584
0,3,male,18.0,1,1,S,0,n,1,Mr,3.0545906305603445
1,1,male,,0,0,S,1,C,1,Mr,3.449987545831587
0,3,male,25.0,0,0,S,0,n,0,Mr,2.0856720914304723
1,2,female,24.0,0,2,S,0,n,1,Mrs,2.740840023925201
0,3,male,22.0,0,0,S,0,n,1,Mr,2.142510233146819
1,1,male,0.92,1,2,S,2,C,1,Master,5.027492411162679
1,2,female,24.0,1,0,S,0,n,1,Mrs,3.295836866004329
1,3,female,26.0,0,0,S,0,n,0,Miss,2.188856327665703
0,2,male,34.0,1,0,S,0,n,1,Mr,3.091042453358316
1,1,female,21.0,2,2,C,4,B,0,Miss,5.5735788721243535
0,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
1,3,female,,0,0,C,0,n,1,Mrs,2.1076888046179385
0,3,male,,0,0,S,0,n,1,Mr,2.2682524139135403
1,3,female,22.0,0,0,S,0,n,1,Miss,2.1719067693519296
1,3,female,18.0,0,0,S,0,n,1,Miss,2.3833998102837652
1,1,female,42.0,0,0,C,0,n,0,Miss,5.4316456135398825
0,2,male,57.0,0,0,Q,0,n,1,Rev,2.5915163848462583
0,3,male,19.0,0,0,S,0,n,0,Mr,0.0
1,2,female,42.0,1,0,S,0,n,0,Mrs,3.295836866004329
0,3,male,,0,0,C,0,n,1,Mr,2.1071782966514356
0,3,female,20.0,0,0,S,0,n,1,Miss,2.2682524139135403
0,3,male,34.5,0,0,C,0,n,1,Mr,2.006534770871748
0,3,male,28.0,0,0,S,0,n,1,Mr,2.3513752571634776
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,male,23.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,22.0,0,0,S,0,n,0,Mr,2.1102132003465894
1,1,male,52.0,0,0,S,1,C,1,Major,3.449987545831587
1,3,female,30.0,0,0,S,0,n,1,Miss,2.600836116795061
0,2,male,36.5,0,2,S,1,F,1,Mr,3.295836866004329
0,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
0,3,male,22.0,0,0,C,0,n,1,Mr,2.1076888046179385
1,1,male,50.0,2,0,S,0,n,0,Dr,4.902678819257608
1,3,male,27.0,0,0,S,0,n,1,Mr,2.076311648670908
0,3,male,22.0,0,0,S,0,n,1,Mr,2.2027647577118348
1,1,female,51.0,1,0,S,1,D,1,Mrs,4.368919865004903
0,2,male,36.0,0,0,S,0,n,0,Mr,2.4423470353692043
1,2,female,29.0,1,0,S,0,n,1,Mrs,3.295836866004329
1,1,female,22.0,0,0,S,0,n,1,Miss,5.027492411162679
0,1,male,50.0,1,0,C,1,C,0,Mr,4.676792929661059
1,2,female,40.0,0,0,S,0,n,1,Miss,2.6390573296152584
1,3,male,27.0,0,0,S,0,n,1,Mr,2.2682524139135403
0,1,male,,0,0,S,0,n,1,Mr,0.0
0,1,male,65.0,0,0,S,1,E,1,Mr,3.3160025355989236
0,3,male,17.0,0,0,S,0,n,1,Mr,2.2682524139135403
1,1,male,28.0,0,0,S,1,C,1,Mr,3.3160025355989236
1,1,male,4.0,0,2,S,1,A,1,Master,4.417131919904876
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
1,3,female,1.0,1,1,S,0,n,1,Miss,2.495953738718064
0,2,male,36.0,1,2,S,0,n,0,Mr,3.3586377672433594
0,2,male,43.0,1,1,S,0,n,0,Mr,3.305053521109253
0,1,male,38.0,0,1,S,1,C,0,Mr,5.039951348430309
1,2,female,31.0,1,1,S,0,n,0,Mrs,3.305053521109253
0,3,male,29.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,3,male,18.0,0,0,S,0,n,1,Mr,2.2300144001592104
0,2,male,,0,0,C,0,n,0,Mr,2.775708849576025
1,1,female,39.0,1,1,C,1,C,1,Mrs,4.717456363787216
0,2,male,39.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,3,male,26.0,2,0,S,0,n,1,Mr,2.2682524139135403
0,3,male,20.0,0,0,S,0,n,0,Mr,2.0856720914304723
1,1,female,,1,0,S,0,n,0,Mrs,4.902678819257608
0,3,male,49.0,0,0,S,0,n,0,Mr,0.0
0,2,male,23.0,0,0,C,0,n,0,Mr,2.775447133088262
0,3,male,1.0,4,1,S,0,n,1,Master,3.705920919968788
1,3,female,,0,0,Q,0,n,1,Miss,2.1837114628556327
0,3,male,,1,2,S,0,n,0,Mr,3.196630215920881
1,2,male,3.0,1,1,S,1,F,1,Master,3.295836866004329
1,3,male,4.0,1,1,S,0,n,1,Master,2.495953738718064
0,3,male,19.0,0,0,S,2,F,1,Mr,2.157559320943788
0,3,male,40.5,0,0,Q,0,n,1,Mr,2.169053700369523
1,3,female,1.0,0,2,C,0,n,1,Miss,2.817902613071225
0,3,female,,0,2,C,0,n,1,Mrs,2.7878344138303452
0,3,male,21.0,0,0,S,0,n,0,Mr,2.188856327665703
0,1,male,54.0,0,0,S,1,E,1,Mr,3.967694202798607
0,3,male,,0,0,Q,0,n,1,Mr,2.803360380906535
0,2,male,25.0,1,2,C,0,n,0,Mr,3.7513658711253766
0,3,male,26.0,1,0,C,0,n,1,Mr,2.737880811060884
0,3,female,22.0,0,0,S,0,n,1,Miss,2.4437981558973862
1,3,female,31.0,1,1,S,0,n,1,Mrs,3.0692150503137943
1,1,male,49.0,1,0,C,1,C,1,Mr,4.500966778400217
0,2,male,19.0,1,1,S,0,n,0,Mr,3.6309854756950335
0,2,male,24.0,0,0,S,0,n,0,Mr,2.4423470353692043
1,3,male,16.0,0,0,S,0,n,0,Mr,2.2027647577118348
1,1,male,25.0,1,0,C,1,E,1,Mr,4.0332082470129285
0,3,male,39.0,0,0,S,0,n,0,Mr,3.224857896545748
0,3,female,47.0,1,0,S,0,n,0,Mrs,2.740840023925201
0,1,male,60.0,0,0,S,0,n,1,Col,3.3160025355989236
0,2,male,24.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,1,male,,0,0,S,1,A,1,Mr,3.9318256327243257
0,2,female,27.0,1,0,S,0,n,1,Mrs,3.091042453358316
1,2,male,,0,0,C,0,n,0,Mr,2.6988412620169004
0,3,male,38.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,44.0,0,0,S,0,n,1,Mr,2.2027647577118348
1,2,female,21.0,0,0,S,0,n,0,Miss,2.4423470353692043
1,3,female,24.0,0,2,S,1,G,0,Mrs,2.8735646395797834
1,2,female,45.0,0,0,S,0,n,1,Mrs,2.6741486494265287
1,2,male,8.0,1,1,S,0,n,0,Master,3.6309854756950335
0,3,female,8.0,3,1,S,0,n,1,Miss,3.0944457464900235
0,1,male,,0,0,S,1,C,1,Mr,3.58351893845611
1,3,male,32.0,0,0,S,1,E,0,Mr,2.2027647577118348
0,1,male,50.0,1,0,S,1,E,1,Mr,4.041295341132285
0,3,male,21.0,0,0,S,0,n,0,Mr,2.174751721484161
1,2,female,50.0,0,0,S,0,n,0,Miss,2.4423470353692043
0,3,female,23.0,0,0,S,0,n,0,Miss,2.188856327665703
1,3,male,32.0,0,0,S,0,n,1,Mr,2.180891922715322
0,3,female,,0,0,Q,0,n,1,Miss,2.169053700369523
0,3,female,21.0,2,2,S,0,n,0,Miss,3.5660053559634015
0,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
0,3,male,25.0,0,0,C,0,n,1,Mr,2.1071782966514356
0,3,male,15.0,1,1,C,0,n,1,Mr,2.1076888046179385
0,3,female,31.0,1,0,S,0,n,1,Mrs,2.9444389791664403
0,2,male,25.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,2,male,54.0,0,0,S,0,n,1,Mr,3.295836866004329
0,1,male,28.0,0,0,S,0,n,1,Mr,3.8732821771117156
1,2,female,41.0,0,1,S,0,n,1,Mrs,3.0204248861443626
0,3,male,33.0,0,0,C,0,n,1,Mr,2.2682524139135403
0,2,male,52.0,0,0,S,0,n,1,Mr,2.6741486494265287
0,3,male,16.0,1,1,S,0,n,0,Mr,3.056356895370426
0,3,male,20.0,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,male,9.0,4,2,S,0,n,1,Master,3.4777725458882283
1,3,male,,0,0,S,0,n,1,Mr,2.2096470973347766
0,3,male,,0,0,Q,0,n,1,Mr,2.17806441028492
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
1,1,female,54.0,1,0,C,0,n,0,Mrs,4.100989104940769
0,3,male,26.0,0,0,S,0,n,1,Mr,2.1855792552411137
1,1,male,60.0,1,1,C,1,B,1,Mr,4.384523514872469
1,3,male,,0,0,S,0,n,1,Mr,4.05171190165724
1,1,female,44.0,0,1,C,1,B,1,Mrs,4.077184839375167
1,3,male,20.0,1,0,S,0,n,0,Mr,2.188856327665703
0,3,male,,3,1,S,0,n,1,Master,3.275887339030031
0,2,male,16.0,0,0,S,0,n,0,Mr,2.4423470353692043
0,3,female,43.0,1,6,S,0,n,0,Mrs,3.8691155044168695
0,3,male,17.0,0,0,S,0,n,1,Mr,2.2682524139135403
1,1,male,37.0,1,1,S,1,D,1,Mr,3.9806942251907276
1,2,male,62.0,0,0,S,0,n,0,Mr,2.4423470353692043
0,3,male,8.0,4,1,Q,0,n,1,Master,3.405355391810819
1,3,male,32.0,0,0,S,0,n,1,Mr,4.05171190165724
0,3,female,20.0,1,0,S,0,n,1,Miss,2.3818582738885534
1,2,female,28.0,0,0,S,0,n,1,Miss,2.6390573296152584
0,3,female,21.0,0,0,Q,0,n,1,Miss,2.169053700369523
0,3,male,37.0,2,0,S,0,n,1,Mr,2.188856327665703
0,3,female,17.0,0,0,C,0,n,1,Miss,2.738146075922933
1,3,female,,0,0,Q,0,n,1,Miss,2.169053700369523
0,1,male,46.0,1,0,S,1,E,0,Mr,4.1299529896894684
0,3,male,,0,0,S,0,n,0,Mr,2.7788192719904172
0,3,male,24.0,0,0,S,0,n,1,Mr,2.2027647577118348
0,1,male,29.0,1,0,S,1,C,1,Mr,4.213607983048918
1,1,female,56.0,0,1,C,1,C,1,Mrs,4.432699549165613
0,2,male,31.0,1,1,C,0,n,0,Mr,3.637696679934592
1,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
1,2,male,32.0,1,0,S,0,n,1,Mr,3.295836866004329
0,3,male,33.0,1,1,S,0,n,1,Mr,3.0692150503137943
0,3,male,59.0,0,0,S,0,n,1,Mr,2.1102132003465894
1,1,female,58.0,0,0,S,1,C,1,Miss,3.3160025355989236
1,3,female,,1,0,S,0,n,1,Mrs,2.8390784635086144
1,2,female,3.0,1,2,C,0,n,0,Miss,3.7513658711253766
0,3,male,,0,0,C,0,n,1,Mr,2.1855792552411137
1,1,female,16.0,0,1,C,1,B,1,Miss,4.077184839375167
0,3,female,45.0,1,4,S,0,n,1,Mrs,3.3638415951183864
1,1,female,43.0,0,1,S,1,B,1,Mrs,5.35817698994543
1,1,female,30.0,0,0,C,0,n,0,Miss,4.676792929661059
0,3,male,28.5,0,0,S,0,n,1,Mr,2.8390784635086144
0,3,male,24.0,0,0,S,0,n,1,Mr,2.174274334826008
0,2,male,30.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,1,male,36.0,0,0,C,1,A,1,Mr,3.716616209085536
0,3,male,25.0,0,0,S,0,n,0,Mr,2.0856720914304723
0,3,female,,0,2,Q,0,n,1,Miss,2.169053700369523
0,1,female,50.0,0,0,C,1,C,0,Miss,3.391567832686312
1,3,female,0.75,2,1,C,0,n,1,Miss,3.0085645861193133
1,1,female,24.0,0,0,C,1,C,0,Mlle,3.922056501139853
1,2,female,24.0,1,2,S,0,n,1,Miss,4.189654742026425
1,1,female,35.0,1,0,S,0,n,1,Mrs,3.970291913552122
1,1,female,30.0,0,0,S,1,B,1,Miss,4.471638793363569
0,2,male,23.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
0,2,male,27.0,0,0,S,0,n,1,Mr,3.295836866004329
1,2,female,55.0,0,0,S,0,n,1,Mrs,2.833213344056216
1,1,female,35.0,1,0,S,1,C,1,Mrs,3.9908341858524357
0,3,male,,0,0,Q,0,n,1,Mr,2.061570298060867
1,1,female,,0,0,C,0,n,0,Mrs,4.384523514872469
0,3,male,,1,0,S,0,n,1,Mr,3.0429354648621407
1,2,female,23.0,0,0,C,1,D,0,Mrs,2.694066212646058
1,3,female,,0,0,Q,0,n,1,Miss,2.167143305297764
1,1,female,23.0,1,0,C,1,D,1,Miss,4.738607824217808
0,3,male,51.0,0,0,S,0,n,1,Mr,2.2027647577118348
1,2,female,33.0,0,2,S,0,n,1,Mrs,3.295836866004329
0,3,female,29.0,0,4,S,0,n,1,Mrs,3.0944457464900235
0,3,male,,0,0,C,0,n,1,Mr,2.1855792552411137
0,3,male,,8,2,S,0,n,0,Mr,4.256321678298823
1,2,female,2.0,1,1,S,0,n,1,Miss,3.295836866004329
1,2,female,14.0,1,0,C,0,n,1,Mrs,3.436268471383741
0,2,male,54.0,1,0,S,0,n,1,Rev,3.295836866004329
1,3,female,15.0,0,0,Q,0,n,1,Miss,2.2004637699272855
1,1,female,22.0,0,1,S,1,E,1,Miss,4.02535169073515
0,2,male,27.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
0,1,male,,0,0,C,0,n,1,Dr,3.703768066607687
1,2,female,28.0,1,0,C,0,n,0,Mrs,3.2188758248682006
0,3,male,39.0,0,0,S,0,n,1,Mr,2.188856327665703
1,2,male,2.0,1,1,S,1,F,1,Master,3.295836866004329
0,3,male,24.0,1,0,S,0,n,1,Mr,2.8390784635086144
0,3,male,32.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,45.5,0,0,C,0,n,1,Mr,2.1071782966514356
1,2,female,8.0,0,2,S,0,n,0,Miss,3.305053521109253
0,3,male,26.0,1,2,S,0,n,0,Mr,3.0715352369694915
1,1,female,29.0,0,0,S,1,B,1,Miss,5.35817698994543
1,2,female,45.0,1,1,S,0,n,0,Mrs,3.305053521109253
1,3,female,36.0,1,0,S,0,n,1,Mrs,2.91235066461494
0,1,male,,0,0,S,1,A,1,Mr,3.295836866004329
1,3,female,4.0,0,2,S,0,n,1,Miss,3.1365805821413706
0,2,male,16.0,0,0,S,0,n,1,Mr,3.295836866004329
0,1,male,58.0,0,0,C,1,B,1,Mr,3.4242626545931514
0,3,male,40.5,0,2,S,0,n,0,Mr,2.740840023925201
0,3,male,25.0,0,0,S,2,F,1,Mr,2.157559320943788
0,3,male,,0,0,S,0,n,1,Mr,2.1855792552411137
0,3,male,51.0,0,0,S,0,n,1,Mr,2.086193694502369
0,2,male,,0,0,S,0,n,1,Mr,0.0
1,3,female,17.0,4,2,S,0,n,1,Miss,2.188856327665703
0,3,male,,0,0,Q,0,n,1,Mr,2.0731719286662407
0,3,male,40.0,1,1,Q,0,n,1,Mr,2.803360380906535
1,3,male,25.0,0,0,S,0,n,0,Mr,0.0
0,1,male,47.0,0,0,S,1,E,1,Mr,3.2804411805263554
0,1,male,,0,0,S,1,C,1,Mr,3.3160025355989236
0,2,male,44.0,1,0,S,0,n,1,Mr,3.295836866004329
1,1,female,23.0,3,2,S,3,C,1,Miss,5.575949103146316
0,2,male,18.0,0,0,S,0,n,1,Mr,2.5257286443082556
0,2,male,29.0,1,0,S,0,n,1,Mr,3.091042453358316
1,3,male,12.0,1,0,C,0,n,1,Master,2.5048481563289
0,3,male,11.0,0,0,C,0,n,1,Mr,2.9850504252071306
1,3,female,22.0,0,0,Q,0,n,1,Miss,2.169053700369523
0,2,male,19.0,0,0,S,0,n,1,Mr,2.4423470353692043
0,3,male,22.0,1,0,S,0,n,0,Mr,2.1102132003465894
0,3,male,33.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,1,male,56.0,0,0,S,0,n,1,Mr,3.3160025355989236
1,2,male,1.0,0,2,C,0,n,0,Master,3.637696679934592
0,3,male,22.0,0,0,S,0,n,1,Mr,2.174274334826008
0,3,male,,0,0,C,0,n,1,Mr,2.1076888046179385
0,3,male,,0,0,Q,0,n,1,Mr,2.169053700369523
0,3,male,7.0,4,1,Q,0,n,1,Master,3.405355391810819
1,3,female,4.0,0,1,C,0,n,1,Miss,2.668387256845834
0,3,male,70.5,0,0,Q,0,n,1,Mr,2.169053700369523
0,2,male,18.0,0,0,S,0,n,1,Mr,2.6390573296152584
1,3,male,20.0,1,1,C,0,n,1,Mr,2.817902613071225
0,2,male,24.0,2,0,S,0,n,0,Mr,4.310799125385514
0,3,male,,0,0,C,0,n,1,Mr,2.1071782966514356
1,2,female,34.0,0,0,S,1,F,0,Mrs,2.4423470353692043
1,3,female,,0,0,Q,0,n,1,Miss,2.169053700369523
1,1,female,31.0,0,2,S,1,C,1,Miss,5.11118445372147
0,3,male,30.0,0,0,S,0,n,1,Mr,2.1855792552411137
0,2,male,18.0,0,0,S,0,n,1,Mr,2.5257286443082556
0,3,female,9.0,3,2,S,0,n,1,Miss,3.3638415951183864
1,1,female,39.0,1,1,S,1,E,1,Mrs,4.390118804571218
1,1,female,33.0,1,0,S,1,E,1,Mrs,3.9908341858524357
0,1,male,70.0,1,1,S,1,B,0,Capt,4.276666119016055
1,1,female,24.0,0,0,C,1,B,0,Mme,4.252771798816619
1,1,female,58.0,0,1,S,1,C,0,Mrs,5.039951348430309
0,3,male,21.0,0,0,S,0,n,1,Mr,2.180891922715322
1,1,female,17.0,1,0,C,1,C,0,Mrs,4.699570861409576
0,3,female,28.0,1,1,S,0,n,1,Mrs,2.7343675094195836
1,1,female,24.0,0,0,C,1,C,1,Miss,4.432699549165613
0,3,male,,0,0,C,0,n,1,Mr,2.1071782966514356
0,3,male,,1,0,Q,0,n,1,Mr,2.803360380906535
0,3,male,42.0,0,0,S,0,n,1,Mr,2.2682524139135403
0,3,male,18.0,1,0,S,0,n,1,Mr,2.0143428636837015
1,3,female,2.0,0,1,S,0,n,1,Miss,2.586823743668066
1,2,female,34.0,0,0,S,0,n,1,Miss,2.6390573296152584
1,3,male,3.0,4,2,S,0,n,1,Master,3.4777725458882283
1,1,female,58.0,0,0,C,1,B,0,Miss,4.993969182787072
0,3,male,32.0,0,0,Q,0,n,1,Mr,2.169053700369523
1,3,male,31.0,0,0,S,0,n,0,Mr,2.188856327665703
1,3,male,,0,0,S,0,n,1,Mr,2.1719067693519296
1,2,female,27.0,1,0,C,0,n,0,Miss,2.698558631668595
0,3,male,11.0,5,2,S,0,n,0,Master,3.8691155044168695
0,2,male,23.0,0,0,S,0,n,1,Mr,2.6390573296152584
0,1,male,40.0,0,0,S,1,B,1,Mr,0.0
0,3,male,,0,0,C,0,n,1,Mr,2.1076888046179385
0,3,female,28.0,0,0,S,0,n,1,Miss,2.1855792552411137
1,2,female,28.0,0,0,S,0,n,1,Ms,2.6390573296152584
0,3,male,,1,0,S,0,n,1,Mr,3.0429354648621407
0,3,male,19.0,0,0,S,0,n,1,Mr,2.4133032309283076
0,3,female,30.0,1,1,S,0,n,1,Mrs,3.224857896545748
0,3,male,20.0,0,0,S,0,n,1,Mr,2.180891922715322
0,3,male,28.0,0,0,S,0,n,1,Mr,4.05171190165724
0,3,male,36.0,0,0,S,0,n,0,Mr,0.0
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
1,1,female,24.0,3,2,S,3,C,1,Miss,5.575949103146316
0,3,male,28.5,0,0,C,0,n,1,Mr,2.1076888046179385
1,3,female,24.0,0,3,C,0,n,1,Mrs,3.0085645861193133
0,2,male,42.0,0,0,S,0,n,1,Rev,2.6390573296152584
0,1,male,54.0,0,1,S,1,D,1,Mr,4.360387947851531
0,3,male,25.0,0,0,Q,0,n,1,Mr,2.1681046787623672
0,3,male,7.0,4,1,S,0,n,1,Master,3.705920919968788
0,3,male,25.0,1,0,S,0,n,1,Mr,2.9338568698359038
1,3,female,27.0,0,1,S,1,E,1,Mrs,2.600836116795061
1,3,female,24.0,1,0,S,0,n,0,Mrs,2.8243506567983707
0,3,male,,0,0,S,0,n,1,Mr,2.1102132003465894
1,2,female,28.0,0,0,S,0,n,1,Mrs,2.613739521630969
0,3,male,19.0,0,0,S,0,n,1,Mr,2.740840023925201
0,3,male,22.0,0,0,S,0,n,0,Mr,2.1102132003465894
1,3,female,,0,0,C,0,n,1,Mrs,2.1071782966514356
0,3,female,,8,2,S,0,n,0,Miss,4.256321678298823
1,1,male,42.0,0,0,S,1,E,0,Mr,3.3064287218760624
0,2,male,50.0,0,0,S,0,n,1,Mr,2.6390573296152584
1,2,male,3.0,1,1,S,0,n,1,Master,2.9831534913471307
0,1,male,,0,0,C,0,n,0,Mr,5.4316456135398825
0,3,female,18.0,2,0,S,0,n,1,Miss,2.9444389791664403
0,3,male,18.0,1,1,S,0,n,1,Mr,2.180891922715322
0,1,male,44.0,2,0,Q,1,C,1,Dr,4.51085950651685
1,1,male,,0,0,S,1,D,1,Mr,3.4339872044851463
0,1,male,,0,0,S,0,n,1,Mr,3.770459441106359
0,3,male,,1,0,Q,0,n,1,Mr,3.224857896545748
0,3,male,16.0,0,0,S,0,n,1,Mr,2.1719067693519296
0,3,male,,0,0,S,0,n,0,Mr,2.1177604059819726
0,3,male,22.0,0,0,S,0,n,1,Mr,2.1855792552411137
1,2,female,4.0,1,1,S,0,n,1,Miss,3.1780538303479458
1,2,male,,0,0,S,0,n,1,Mr,2.6390573296152584
1,3,male,24.0,0,0,S,0,n,0,Mr,2.0969990034181696
1,2,female,30.0,0,0,Q,0,n,1,Miss,2.5915163848462583
1,3,female,29.0,0,2,C,0,n,1,Mrs,2.7878344138303452
0,3,male,24.0,0,0,S,0,n,1,Mr,2.3513752571634776
1,1,female,45.0,1,1,S,0,n,1,Mrs,5.11118445372147
1,2,female,32.0,0,0,S,0,n,1,Mrs,2.6390573296152584
0,3,male,21.0,0,0,S,0,n,0,Mr,2.188856327665703
1,1,male,35.0,0,0,C,1,B,0,Mr,6.240917354759096
0,3,female,,8,2,S,0,n,0,Miss,4.256321678298823
1,3,male,,2,0,Q,0,n,1,Mr,3.188416617383492
1,1,male,36.0,0,1,C,3,B,0,Mr,6.240917354759096
0,3,female,41.0,0,5,S,0,n,1,Mrs,3.705920919968788
1,3,female,23.0,0,0,S,0,n,0,Miss,2.145931282948669
0,3,male,34.0,1,1,S,0,n,1,Mr,2.7343675094195836
1,2,female,,0,0,S,0,n,1,Miss,3.5263605246161616
0,3,male,,0,0,Q,0,n,1,Mr,3.224857896545748
1,3,female,15.0,0,0,C,0,n,1,Miss,2.1071782966514356
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,female,18.0,0,0,S,0,n,1,Miss,2.1719067693519296
0,3,male,30.0,0,0,S,0,n,0,Mr,2.2027647577118348
0,2,male,32.0,2,0,S,0,n,0,Mr,4.310799125385514
0,3,male,4.0,4,1,Q,0,n,1,Master,3.405355391810819
0,3,male,2.0,4,1,Q,0,n,1,Master,3.405355391810819
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,male,,2,0,C,0,n,1,Mr,3.1214482048688246
1,1,female,48.0,0,0,S,1,D,1,Mrs,3.2932111997353943
0,3,male,31.0,0,0,Q,0,n,1,Mr,2.169053700369523
0,1,male,47.0,0,0,S,1,D,1,Mr,3.5559421706858756
0,3,female,26.0,1,0,S,0,n,0,Mrs,2.8390784635086144
0,3,male,9.0,5,2,S,0,n,0,Master,3.8691155044168695
1,3,male,19.0,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,male,,0,0,S,0,n,0,Mr,2.2027647577118348
0,3,male,22.0,0,0,S,0,n,0,Mr,2.336986519711378
0,3,male,,0,0,C,0,n,1,Mr,2.1071782966514356
0,2,male,28.0,0,1,S,0,n,1,Rev,3.5263605246161616
1,2,female,24.0,2,3,S,0,n,1,Mrs,2.9831534913471307
0,3,male,17.0,0,0,S,0,n,1,Mr,2.2682524139135403
0,3,male,,1,0,Q,0,n,1,Mr,2.803360380906535
0,3,female,,3,1,S,0,n,1,Miss,3.275887339030031
0,3,male,21.0,0,0,S,0,n,0,Mr,2.2027647577118348
1,1,male,51.0,0,0,S,1,E,1,Mr,3.3160025355989236
0,3,female,3.0,3,1,S,0,n,1,Miss,3.0944457464900235
1,3,female,0.75,2,1,C,0,n,1,Miss,3.0085645861193133
0,3,male,,0,0,C,0,n,1,Mr,2.1076888046179385
0,3,male,34.0,0,0,S,0,n,1,Mr,2.2027647577118348
1,2,female,18.0,0,1,S,0,n,1,Miss,3.1780538303479458
1,1,female,44.0,0,0,C,1,B,0,Mrs,3.357621598945279
0,3,male,,0,0,S,0,n,1,Mr,2.740840023925201
0,3,male,,0,0,S,0,n,1,Mr,2.3513752571634776
